留言领域,留言类型,留言内容,回复内容
三农,咨询,我是西瓦尔图镇的，土地确权好几年了，为什么确权证还没有下来。我通过12345了解，回复是经过第一次测量和实际不符，就确权不了！想问一下到底有没有其他措施和处理方案？,首先，非常感谢您反馈的信息。西瓦尔图镇兴泉村工作人员已与您进行解释，告知兴泉村有关土地确权版图和确权数据、公示表，经您确认签字，村委会公示。土地确权目前正处于数据修正勘误阶段，还未启用，也未发放土地确权证。如有问题请联系:西瓦尔图镇副镇长李智，联系电话：13314835673；兴泉村负责人刘文波，联系电话:15504807707。
交通,投诉/求助,领导，您好。希望将谷堆乡刘营村湖南组的这一条路尽快修缮一下，一下雨就积水，谢谢领导。,网友您好，经现场核实，谷堆乡刘营村湖南组道路已通过商混废料进行维修，由于资金紧张，暂无道路翻建计划。后期如资金允许的情况下，会及时将其纳入翻建计划，感谢您的监督和支持。祝工作顺利，生活愉快！
企业,投诉/求助,该店都没有持健康证就上岗，用过期食材继续售卖给客人用餐，市场买的已经死虾继续售卖给客人，用隔夜饭，米饭第一天卖不完，放在冰箱第二天在加热给客人吃，后厨脏乱，所有食材都没有贴上有效期，该店直接接触食品餐饮从事人员全部未佩戴口罩，后厨缺少相应三防设施，该店铺还用杀虫剂使用在店里，2023年10月25日生产的花生油保质期6个月，现在已经2025年7月31号还在使用严重过期花生油，请立即彻查,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！
城建,投诉/求助,屏华路是连接郑开大道到开来路的重要路段，附近有幼儿园、小学、中学以及居民，但是路灯基本上都坏了，好长时间了，没人维修。让尽快维修,网友您好！针对您反映的问题，县市政所工作人员已与您取得联系。现因单位维修物资短缺，正在申请维护经费，维护经费到位后将第一时间对此路段进行维修，在此给市民带来的不便敬请谅解。
政务,投诉/求助,地产、物业不作为，收费批准顶楼业主加盖一层甚至三层楼房，破坏楼体结构，导致楼体严重下沉，厨房下水管断裂，漏水，给楼下业主造成了损失。,人民网网友您好：留言收悉，您留言反映问题相关部门立即进行了调查处理。金石滩街道在接到您反映的问题后，第一时间责令执法队工作人员进行现场调查，调查后发现您反映的问题部分属实。执法队接到投诉后第一时间联合物业公司到现场进行查看，经调查，您反映的小区内顶层加盖的问题，大多是2018-2019年建设，现在都处于完工状态，且每户楼顶的违建只能通过自家室内楼梯到达，执法队已经对其中部分业主下达了《调查通知书》，下步将逐步推进此项工作。您反映的破坏楼体结构等问题，需要专业检测部门进行鉴定。您反映的收费的问题您和物业暂未提交相关证据。感谢您对我们工作的理解与支持，如后续产生其他问题欢迎您与我们联系！祝您一切顺心如意！
教育,投诉/求助,"合肥市高新区侯店路和磨子潭路交口西北角（乐富强文宸悦府小区东边）新建的中学有招生计划吗？\r已经盖好几年了,一直没有动静，相对比长江西路南边规划的中学或多或少都有招生计划的消息，而这家新建的中学一直没有消息。希望有关部门帮忙解答一下这家新建的中学后续的大概招生计划。",网友：您好！您在人民网给省委书记留言，反映文宸悦府代建中学招生等问题，现将办理情况回复如下：经查，您反映的侯店路和磨子潭路交口西北角（乐富强文宸悦府小区东边）新建的中学为文宸悦府代建，今年无招生计划，学校具体招生时间目前尚未确定，高新区将根据周边实际尽快确定，确定后将第一时间向社会公布。近日，工作人员就留言办理情况与您联系，如果您还有不清楚的地方，请与高新区社会发展局教育发展中心（电话：0551-65318011）联系。
治安,投诉/求助,连云港市赣榆区厉庄镇万赤涧村万**翻盖房屋，未经四邻同意，滴水檐伸到我家房顶，把我家房屋主屋，小房山墙拆的七零八落，拒不给恢复原样，还辱骂家中老人。后其子同意不再粉刷山墙，相安无事一段时间，现在又找人强行施工，还吓唬家中老人。,人民网网友您好，接办理单后，厉庄镇及时进行调查，经核实，您父亲为厉庄镇*涧村村民殷**，其父亲房屋与同村村民万*方为东西向邻居（万*方户位于西侧，殷*明户在其东侧）。2024年4月，村民万*方翻建二层楼房，并办理了房屋建设规划许可证。万*方在房屋翻建前，未能与殷*明方就房屋翻建相关细节问题完全沟通协商到位。在翻建过程中，万*方户原本将房屋位置向西让出了30公分，但其二楼滴水檐又向东侧伸出约30公分，在一定程度上违反了村民建房的正常风俗习惯，双方遂因此事产生矛盾纠纷。2024年4月24日及4月30日，万*方在粉刷东山墙过程中同殷*明方两次发生纠纷并报警处理，镇派出所民警出警后现场调解未果，后通知双方到派出所再次进行调解，但仍未调解成功。后通过万*方儿子万*波做其父亲思想工作，对其父亲进行疏导劝解，万*方停止对房屋东山墙进行粉刷，双方矛盾纠纷暂时平息。2025年4月底，万*方又再次对房屋东山墙进行整修粉刷，殷*明同万*方再次发生冲突纠纷。鉴于以上情况，厉庄镇建设部门、信访部门及*涧村村委会将再次进行调解，尽快化解双方矛盾纠纷。感谢您对赣榆区政府工作的理解和支持。
环保,投诉/求助,半夜施工，噪音非常大，用检测器检测家里噪音已超过60分贝，严重影响旁边居民休息。诉求：白天可以正常施工，禁止晚10：00以后的施工！完全无法入睡。,网民您好！经裕华区裕兴街道调查核实，该项目已申请办理了夜间施工许可证，目前正在进行混凝土浇筑作业，该工序无法中途停止，裕兴街道督促施工单位强化文明施工，最大限度减少施工噪音产生。工作人员已与您取得联系，解释了相关情况。感谢您对我们工作的理解与支持！
三农,投诉/求助,宛城区红泥湾镇胡阡营村上和庄村南正南方向小桥塌了，造成了村南头交通被断，给村民出行和农业生产造成了不便，望相关部门及时重建。,网友您好，经调查了解，上和庄南桥已列入南阳市市本级第三批农村公路危桥改造投资计划表，现正在进行招投标工作，招投标完成后立即进行施工。
交通,投诉/求助,嘉泰西路道路本身就不宽，每天不论白天黑夜，道路两边停的都是机动车，嘉泰北苑的出口就只有嘉泰西路，道路乱停乱放造成出行极其不便，望有关领导查看解决，万分感谢。,回复：接到您反映的嘉泰西路机动车乱停的问题后，领导高度重视，安排专人组织整治工作，现将有关情况回复如下:该路段小区聚集，小区业主、周边商户的私家车较多，小区内的停车位不能满足群众的停车需求，导致部分群众将车辆停放在小区周边的道路上。交警支队已安排辖区大队增派警力白天加强巡逻治理，夜间引导群众规范有序停车，清晨对违停车辆及时通知劝离。同时将强化宣传教育，增强广大驾驶员规范停车的文明意识，营造人人参与、人人有责的文明交通氛围。市交警支队2025年2月13日
企业,投诉/求助,由于怀孕孩子过几月要出生，坐月子养小孩的需求，父母也要过来，我老公向公司申请人才房的三房租赁的诉求。7月14日被公司通知说有现成三房房源空出，这个三房指标是分配给我们公司的，小区名是润达圆庭。我们很高兴的递交了申请材料，负责申请的同事说最快8月1日起租。直到7月30日，被公司告知房子有变动，房保障中心的直接说不确定有。然后问了他们什么时候能给确切的信息，说是无法确定。所以我有疑问，在被告知已经明确有房源的情况下，房源也属于公司内部的申请名额，外面人无法争夺。公司内部也只有我一个人申请三房，剩下都是年轻单身同事申请的单房。而且已给出明确信息说8月份起租，但为什么到期又突然改口说房子没有了，而且没有任何明确的原因，这个房源的去哪里了？,市民您好。您于2025-07-3112:38:28向我们提出的问题，现回复如下：您好，您所述情况已知悉，为吸引和留住人才，提升人才竞争力，我区面向辖区优质企业配租保障性租赁住房，为实现保障性租赁住房精准分配，遵循公平公正公开的原则，我单位对合格企业住房需求开展摸排调查，于7月14日致电你司住房专员，了解你司企业住房需求，如在沟通中存在偏差，给您带来不便，敬请谅解。我单位已登记您的住房需求，后续如有房源推出，您可按要求提出申请。如您符合申请条件，我单位将予以支持。您可留意“福田政府在线”网站，我单位如有房源推出将在“福田政府在线”发布通告，如需咨询可拨打82918949。感谢您对我们工作的支持和理解。区住建局2025-08-04
城建,投诉/求助,屋里太冷啦！刚17度！人都冻感冒了！交着取暖费！还得用电暖器来取暖！,
政务,咨询,你好，领导，我想问一下，自己的孩子因为父母外出打工，孩子让他姥姥带了。姥姥家城里的，所以因上学从农村老家办理的户口投靠，由此迁到姥姥名下，成了城镇户口。现在父母不出去了，打算让孩子迁回农村老家。孩子现在在城里上学，父母因在城市上班。暂时在城里居住，城市无房产。办理需要什么条件和手续,尊敬的网友：您好！您反映的问题，鄄城县公安局进行了调查处理。现回复如下：关于您咨询的户籍问题，请您携带结婚证及子女出生证明等相关证件到户籍地派出所办理，以上情况我单位工作人员已向您进行了告知，感谢您的理解。感谢您对我们工作的关注和支持，欢迎您多提宝贵意见建议！
教育,投诉/求助,领导您好。我是北城国际小区的业主，想向您反馈一个我们小区一直存在的老大难问题，该小区一直没有配套的幼儿园和小学，此前政府查封了盈*房地产开发有限公司所有剩余资金和不动产，未缴纳的教育基金建议从里面扣除，包括原来规划一直未配建的幼儿园，用来解决北城国际的幼小初教育问题。\r1.?就学困境亟待解决：目前小区划片的和平东路小学距离北城国际超过5公里，电动车骑行耗时超20分钟，自行车耗时45分钟，步行更需近1小时。恰逢和平路修路工程启动，交通拥堵。周边小区都有配套小学和初中，仅北城国际是调剂入学，需远赴五公里外入学，严重违背就近入学。\r2.?恳请将小区小学、初中学区统一调整至仅1公里内新建的二中启德校区！该校作为九年一贯制学校，不仅步行15分钟内即可抵达，完全符合就近入学要求，且招生容量充足。若能实现小初均就读于此，既能彻底解决接送难题，保障孩子上学安全，又能确保教育的连贯性。,网民您好!针对您反映的问题，长安区政府组织区教育局进行了调查核实，北城国际小区交付时属于无配套教育设施的新建小区，按照招生政策，小区适龄儿童、少年由教育局根据周围学位情况调剂安排入学。目前，我市2025年义务教育阶段招生政策尚未公布，根据工作安排，区教育局正在通过走访派出所、居委会等方式，对新建校（二中启德）周围小区开展入学需求调研。区教育局将按照就近入学、科学规划原则，综合考虑周边人口数据、学校布局、交通状况等，合理划定该校招生片区。如有其他疑问，可与工作人员联系咨询，电话：85995837。感谢您对我们工作的理解和支持，祝您身体健康、生活愉快！
治安,投诉/求助,东台市东园路金水湾物业每天晚上都放好多外面人进小区，还有开车的进小区挡道，把我们车位霸占，扰民,市民您好，留言已收悉。收到您的诉求，我局立即安排工作人员与小区物业对接，现就相关情况作出如下答复：我局已督促金水湾小区物业服务企业加强小区内车辆停放和日常门禁管理，发现乱停乱放行为及时劝阻制止。如您发现类似情况，请及时与物业反映。
环保,投诉/求助,大林沿淮肖湾有村民把淮河沿岸的防护林给砍伐掉，破坏掉，有几亩，还挖了一两米的深坑，把淮河防护林一排树的树根都挖暴露出来了。恳请领导重视，出面管理这个事情。,您好！感谢您对我们的信任！您的留言收悉，我们已责成正阳县大林乡政府调查处理。现将具体情况反馈给您：正阳县大林镇沿淮村肖湾实际为沿淮村肖东组、肖中组、肖西组三个村民组的统称，这三个村民组并未建设淮河防护林。周先生反映村民砍伐破坏淮河防护林的问题。经核查，周先生家耕地与肖东组村民肖某远耕地相邻，2023年起周先生在自家耕地种植树木，肖某远为避免树根生长到自家耕地影响农作物生长，于2025年2月9日在自家耕地南侧挖了一条长一百米、宽一米、深一米左右的沟壑，与此沟壑相邻耕地有树木根系露出，并非存在砍伐破坏淮河防护林的问题，问题不属实。针对该情况，属地人民政府已与双方当事人沟通协调，目前该矛盾已化解。
三农,投诉/求助,领导您好，我是高新区百里奚馨园小区的居民，我们小区有一个老大难问题，小区目前还属于铁路供水但是三天两头停水，居民生活困难，而且小区物业说了很久了要把水移交，我们盼了几年该事一直没有得到解决，我们小区的居民也没有渠道得知事情进展到哪一步了，供水是居民最基本的生活保障，期盼领导及有关部门能帮帮我们，解决该关乎居民最基本生活的问题，非常感谢！,经核实，该小区不是水务集团供水。水务集团未停该小区的水。该小区系铁路供水、管理、维护，因年久失修无法正常使用，其外接用户水源需改接市政水源，小区内初装供水管网需改造。为解决外接用户用水，政府协调批示：卧龙、高新政府牵头，铁路及社区配合，水务集团负责外引入管网并承担费用，两区组织住户出资配合开展注册水表之后二次加压设施新建、小区管网、水表更换等工程。目前按照批示，水务集团已完成引入供水管网改造并承担其费用；院内改造方案及费用社区、物业、住户正在协商中。
交通,投诉/求助,孟坝镇从庄坷出来，往杏山头，王湾，的道路，长度大概有三四公里，其中陡坡大概一公里左右，道路为土路，多年来每逢下雨下雪，出行受阻。希望领导实地调查考察，给出解决方案,网友：您好！您在人民网“领导留言板”上留言反映孟坝镇庄坷-杏头山-王湾道路泥泞不畅问题，现答复如下：针对您反映的问题，县交运局将根据省市年度计划及资金安排，积极向上争取道路硬化项目，同时村上将对该段道路进行平整和适量铺砂，以方便群众正常出行。联系电话：孟坝镇人民政府0934-7561021感谢您对我们工作的关心和支持！
企业,投诉/求助,英伦康桥小区存在以下几个问题:\r1.入住三年，第一、二年都是按照测绘面积收取供热费，第三年不按照测绘面积收取费用，私自增加收费金额\r2.全县多个小区都和英伦康桥小区性质相同，只有英伦康桥小区增加收费金额，解答说:别的小区没看到\r3.同一个小区一个单元同样面积供热费收费未统一\r4.供热收费小程序价格经过三次随意更改\r请领导协调解决,尊敬的网友：您好!收到您的留言我们高度重视，立即责成工作人员对您所反映的问题进行调查处理，现答复如下:一、关于前两年按测绘面积收费，第三年用测绘面积和使用面积双标性收取业主供热费问题县住建局已要求伊通满族自治县华大生物质热电有限公司新城营业部（下称“华大热电公司”）实地踏查并解释。经核查，部分小区居民在未向华大热电公司申请的情况下，私自封闭原有露天阳台（邻里花园）并铺设供热设施，扩大了用热面积。根据《伊通满族自治县城区供热管理条例》第44条规定，热用户不得擅自改变热用途或扩大用热面积。同时，依据《房产测量规范》，未封闭阳台按围护结构外围水平投影面积的一半计算建筑面积，全封闭阳台按其外围水平投影面积计算全部建筑面积。由于我县供热费按建筑面积收取（收费标准依据《关于调整县城集中供热价格的通知》（伊价字【2009】第12号），居民用户27.75元/?O，县市监局对该标准无异议），华大热电公司据此对扩大用热面积居民的供热收费面积进行如下调整：（一）如居民未封闭露天阳台（邻里花园）的，按照原有产权建筑面积收取供热费；（二）如居民封闭露天阳台（邻里花园），但居民自述未敷设供暖设施的，在原有产权建筑面积的基础上，先加收封闭露天阳台（邻里花园）一半面积的供热费，供暖期开始后供热公司将到实地踏查，用红外热成像仪测量是否敷设供暖设施，测量结果显示确实未敷设供暖设施的，供热公司将全额返还加收的封闭露天阳台（邻里花园）一半面积的供热费；（三）如居民封闭露天阳台（邻里花园），且已经敷设供暖设施的，加收封闭露天阳台（邻里花园）一半面积的供热费。二、关于同一单元收费混乱的问题县住建局已要求华大热电公司核实。经现场确认，同一单元内部分居民私自封闭露天阳台（邻里花园）并增加供热设施，导致建筑面积增加；部分居民未封闭露天阳台（邻里花园），建筑面积未变，因此出现供热费金额不同的情况。三、关于微信收费系统金额波动的问题经与华大热电公司核实，该公司已于8月1日收费开始时，暂停了该小区的线上线下缴费业务，全力重新核实露天阳台（邻里花园）封闭情况。若华大热电公司出现收费金额错误行为，县住建局已要求华大热电公司作出合理解释，并按照“多退少补”原则处理。四、关于供热面积与测绘面积不符，要求提供实际建筑面积的问题该小区测绘单位吉林省万阳测绘有限公司已出具说明：未封闭阳台按一半面积计算，全封闭阳台按全部面积计算，部分居民封闭露天阳台（邻里花园）后，封闭阳台建筑面积增加了一半。针对已封闭阳台的用户，县住建局建议华大热电公司与这部分用户签订扩大供热面积手续，确认增加的采暖面积并进行公示，确保收费合规合理。感谢您的关注和支持!
城建,投诉/求助,博学苑项目开始自11月份起办理面签入住至今已有50天，燃气暖气事宜一拖再拖，给已入住的住户造成了不便，请相关部门尽快协调暖气/燃气开通事宜。此外，人脸识别和同住人审批进度异常缓慢，我于20日进行人脸登记，至今仍无法刷脸进出小区，26日发起的同住人审批，至今（31日上午）仍未通过，请增派办理人员尽快推进小区入住事宜。,
政务,咨询,尊敬的领导，配偶为武清户籍有住房，如何将本人随迁到武清，需要什么条件及材料，万分感谢。,尊敬的网友：您好，留言收悉。关于您反映的问题答复如下：针对您反映的问题，经治安管理支队二大队调查核实。我单位工作人员已与您电话联系，解释了相关政策，外省市户籍居民与我市户籍居民登记结婚满3年，在我市具有本人或者配偶、子女、父母名下合法产权住房，可以申请投靠配偶来津落户。希望您一如既往的关心和支持我们的工作，继续提出宝贵的意见和建议，顺祝身体健康，生活愉快！
教育,咨询,亲爱的领导您好请问金樾万象小区附近联盟西路小学的分校湖畔小学是要停止建设有别的规划吗?因为买房的时候说是要建新学校才买的这都很久了依然没有施工的意向是不是以后不建了？那让人很伤心,您好，感谢您的留言，您反映的问题经莲池区人民政府核实，现回复如下：经教体局工作人员核实，按照保定市控制性详细规划，在新太行路以北、益民街以西新建联盟西路小学湖畔分校，项目占地约51亩，规划建设6轨36班，新增学位1620个，建筑面积24000平方米，总投资1.7亿元。目前该项目已完成立项、审批，现因资金缘故导致项目停滞，正在积极筹措资金，如有相关问题您可随时拨打电话5012727进行咨询。感谢您对我们工作的理解与支持，祝您生活愉快。
治安,投诉/求助,我是在丁家镇一南??村住的外地人，我跟前邻居是一个贩卖狗的，养了几十只狗每天夜里不分时间的乱叫，每天早上4点以后叫的特别厉害。,"尊敬的网友：您好！首先感谢您对我们工作的支持！针对您所反映的问题,我们高度重视，要求县公安局进行调查，现将有关情况答复如下：经调查：您于2025年5月18日凌晨4时许报警称您在丁家镇南硐村租住的房子周围有狗叫影响正常休息，接报后，民警联系您和村支书一同前往查看，经了解您反映情况属实，民警现场对当事人代某进行口头警告，要求尽快搬离。随后民警多次深入该村进行调查处置，2025年5月31日，民警找到代某，现场告知代某3天内解决狗叫影响邻居正常生活的问题。2025年6月10日，洪家派出所民警再次前往丁家镇南硐村走访调查，发现代某租住的地方还有3条狗未处理，经督促目前已处理完毕。对代某饲养动物影响他人生活的行为依据《中华人民共和国治安管理处罚法》第七十五条第一款之规定，县公安局洪家派出所给予其警告的行政处罚并已执行。感谢您宝贵的留言，欢迎您继续监督和支持我们的工作。"
环保,建言,尊敬的领导，您好。\r我建议减少人工草坪使用，当一年生草坪死亡后，可以再改用固沙网或者耐寒灌木，因为草坪需要更换，而且需要浇很多淡水，很浪费。\r美观问题，从高空看大多是绿树美观效果好，地面看感觉人工草坪也行。,网民您好！接到留言后，石家庄市园林局高度重视，立即安排工作人员进行调查核实，现将结果回复如下：经沟通，您主要从石家庄水资源短缺的实际出发，建议通过减少草坪铺设的方式，达到节约水资源的目的。目前，石家庄市现状草坪品种主要分两大类，均为多年生草坪，无需频繁更换，一是维护成本低、用水量少的暖季节性草坪，二是夏季相对用水量较大的冷季节性草坪。下一步，在园林绿化过程中，市园林局将严格按照《公园设计规范》等国家标准要求，合理设置草坪，在满足广大市民需求和景观效果的同时，积极探索选用节水型草坪品种，并通过喷灌、滴灌等方式，最大限度实现节约用水的目的。工作人员已与您取得联系，解释了相关情况。感谢您对我们工作的理解与支持，祝您生活愉快！
三农,投诉/求助,购买的房子已经入住三年，天然气手续已办理，但是天然气一直不通，严重影响日常生活用热水,网友你好！接到你的留言后，我们随即安排相关部门调查处理。经调查协调，相关部门已为网民家中开通燃气。经回访，网民表示满意。感谢你对我们工作的理解与支持，谢谢！
交通,投诉/求助,邯郸市和平路与怀幼街路口，早晨八点左右有小商贩常年占道经营。,网民您好！2月24日，丛台区综合行政执法局执法人员到达该路段开展执法，对商贩占道经营情况进行治理。经过依法治理，该处已达到规范要求。感谢您的理解和支持，祝生活愉快！
企业,投诉/求助,武汉市江夏区小*工作室（个体工商户）注册地址为湖北省武汉市江夏区五里界街锦绣大道29号拾光里1-170*，实际却不在这里经营，该个体户用虚假地址注册，要求对该个体户进行处罚，并列入异常经营名单。,网友，您好！经核查，您反映的相关个体工商户注册地址与实际经营地址一致，符合相关规定。
城建,投诉/求助,领导，你好。莱西市北国之春小区一期2号楼自今年11月底供暖以来，供暖效果很不好。随着室外温度越来越低，家里的温度也越来越低，就没有超过18度的时候。现在家里的温度已经降到14度，询问了多家住户家里温度，高的也只有16度，到了腊月天，不知还能降多少度？拿测温仪测楼道暖气主管道进水管温度，进水温度在30―31度之间，华*热力公司的供水温度不达标、压力不达标。麻烦领导协调有关部门解决，谢谢。,尊敬的网友：您好!您反映的问题，青岛市莱西市人民政府进行了调查处理，现回复如下:经调查，您为北*之春2号楼3单元*户业主。2025年1月6日下午16:30分左右，莱西市住房和城乡建设局工作人员与华地热力有限公司专业技术人员到达现场，经测温，该单元进水38.7度，回水31.2度。下午17:20分左右入户测温，您家中16.2度。经勘察，您入户供热管道为20管径，导致供热效果不佳。您室内为铸铁散热器采暖，已自行改造过室内供热设施，客厅散热器21柱，其中5柱无温度，南卧室散热器均无温度，存在系统堵塞影响供热循环水流量的情况，且散热器配置数量较少，导致室内温度不达标。针对您家中供热设施存在的问题，华地热力有限公司专业技术人员已现场提出整改意见，建议您对室内供热系统进行全面清洗并增加散热器数量。2025年1月8日上午10：00，莱西市住房和城乡建设局工作人员通过电话87420809与您联系。经协调，华地热力有限公司将按照《青岛市供热条例》第五十一条规定:“经测定，确认被测房间供热温度不达标，属于供热单位原因的，供热单位应当采取措施，保证供热温度达到规定标准。在供热温度达标之前的期间，为室温不合格的天数。对被测房间室温不合格的天数，供热单位应当按照下列标准向用户退还热费：（一）供热温度高于或者等于16℃、低于18℃的，退还热费的20%；（二）供热温度高于或者等于14℃、低于16℃的，退还热费的50%；（三）供热温度低于14℃的，全额退还热费”。给予您相应退费处理。若您还有其他疑问，您可以到莱西市住房和城乡建设局反映，也可拨打电话0532-87420809，或者直接登陆莱西市政务网“网上信访”进行反映，我们将竭诚为您解答和解决有关问题。
政务,咨询,本人是22年在宝鸡买的房子，当时由于宝鸡市不支持公积金贷，因此全为商贷。目前本人公积金缴纳在上海，请问目前异地公积金可以商转公吗？具体政策是什么？,网民您好，留言收悉，现将有关情况回复如下：目前已开展异地商转公业务。首先您需满足本套个人商业按揭贷款住房已取得《不动产产权证书》，能以此套住房作为抵押物，且此套住房产权明晰；个人征信良好，名下没有担保或抵押。因您房产证正在办理，建议您在时间方便的情况下可以提前将资料进行上报审核。公积金管理中心工作人员于2025年5月8日上午10：01分使用电话3901702与您联系解答相关政策并告知您咨询专线，您表示非常满意。感谢您对我们工作的理解和支持。
教育,咨询,你好我是滑县未来城的业主今年漓江路小学招生吗？,网友您好：您的留言已收悉，滑县教育局、滑县锦和街道办事处进行了调查处理。有关情况如下：经调查，根据《滑县人民政府关于规范城区义务教育阶段学校招生工作的实施意见》《滑县义务教育阳光招生专项行动实施办法》《2024年滑县义务教育学校招生入学实施细则》等文件精神，按照城区义务教育公办学校坚持“学校划片招生、生源就近入学”的总体目标，锦和街道办事处联合辖区中心学校、开发商、物业再次对符合2025年新生就读条件的适龄儿童摸排统计。目前，人数已达到开班条件，招生前公布招生方案。请及时关注漓江路小学公众号和学校门口张贴的招生方案。
治安,投诉/求助,地点在沈北新区地坤湖街，三盛颐景蓝湾小区西门，在西门地下车库出入口，流动商贩再次大量聚集，影响行车安全。,您好！您在人民网的留言已收悉。现将有关情况向您反馈如下：沈北新区道义街道执法科接到投诉案件后立即行动，对反映的三盛颐景蓝湾西门流动商贩问题进行调查。现已加强该点位巡查值守力度，清理占道小吃车，维护市容环境秩序。同时道义执法科已加大该区域巡查力度，发现问题及时处理。已将处理情况与诉求人进行了沟通。诉求人理解执法工作对执法人员表示感谢，执法人员也感谢诉求人对执法工作的理解与支持。由此给您带来了不便，我们深表歉意。希望您对我们的答复给予认可和理解。
环保,建言,我是在云南旅居多年的外省老人，云南是个适合老人生活的地方。我准备在云南康养渡过晚年生活。在昆明咨询了几家康养院，他们都提出了一个条件，要监护人。这就使我们为难了，我们就一个小孩他出国十多年了，我们就没有了监护人，我们就入住不了康养院。所以我建议:\r建议一:对监护人能不能灵活一些，对我们外省来滇康养的老人只要他们有经济能力，能按月按年交所有费用，是不是可以将政策放灵活一点？可对外省有经济实力的老人来滇康养有推动作用。\r建议二:来滇康养的外省老人还有个实际问题是，人到了一定年令就怕糊涂。糊涂了有钱都不会支配了。所以我建议向出现以上症状的老人，攻府能不能安排民政局或者康养院所在地社区代管出现糊涂老人的资金，由他们代收代付。也就说老人存款，工资为收入，将收入按合同付给康养院多少费用。这样就可消除来填康养老人的后故之忧。不知道我说清楚没有，不清楚我可沟通。,网民同志：您好！感谢您对云南养老服务工作的关心，关于您在人民网对云南省康养工作提出的宝贵建议，我们高度重视并进行了细致调研和讨论。现回复如下：针对建议一，关于监护人的灵活性问题，我们理解您及许多外省来滇康养老人的难处。入住养老机构需要监护人相关规定主要依据是《中华人民共和国民法典》，当老年人因年龄、疾病等原因导致无民事行为能力或者限制民事行为能力时，需要确定监护人。根据《民法典》第二十八条，无民事行为能力或者限制民事行为能力的成年人，由下列有监护能力的人按顺序担任监护人：1.配偶；2.父母、子女；3.其他近亲属；4.其他愿意担任监护人的个人或组织，但是须经被监护人住所地的居民委员会、村民委员会或者民政部门同意。此外，具有完全民事行为能力的成年人，可以与其近亲属、其他愿意担任监护人的个人或者组织事先协商，以书面形式确定自己的监护人，协商确定的监护人在该成年人丧失或者部分丧失民事行为能力时，履行监护职责。在实际入住养老机构时，通常需要监护人签订相关协议，以明确双方的权利和义务，确保老人的权益得到保障。对于具备完全民事行为能力的老人，一般可以自主决定入住养老机构等事宜，不强制要求有监护人。而对于失智、失能等部分丧失民事行为能力的特殊情况老人，监护人则起着协助决策和处理相关事务的重要作用。目前，我们正积极与相关部门沟通，探讨在确保老人安全与权益的前提下，对监护人制度进行适度调整的可能性。探索通过引入信用评估、第三方担保等机制，为那些有经济能力、但缺乏本地监护人的外省老人提供更多选择，使他们能够顺利入住康养院，享受优质的康养服务。针对建议二，关于糊涂老人的资金管理问题，我们同样给予高度关注。我们认识到，随着老人年龄的增长，部分老人可能会面临认知能力的下降，难以自主管理财务。为此，可通过以下方式做好资金监管保障。一是确定监护人。根据《民法典》规定，无民事行为能力或者限制民事行为能力的成年人，由其配偶、父母、子女等有监护能力的人按顺序担任监护人。监护人负责管理老年人财产，需确保财产安全，按老人实际需要和意愿合理安排支出。对具有完全民事行为能力的成年人，可事先与近亲属、其他愿意担任监护人的个人或组织协商，以书面形式确定监护人。在老人丧失或部分丧失民事行为能力时，由意定监护人履行监护职责，包括管理资金等事务。二是加强资金监管。在银行账户管理方面，老年人可委托监护人凭相关证明文件，如监护关系证明等，到银行办理相关业务，如查询账户余额、交易明细等。还可与银行协商，设置账户交易限制，如限制每日取款额度、限定交易用途等，防止资金被不当使用。三是财产追索诉讼。当老人资金被非法侵占或挪用，可由监护人或其他利害关系人以不当得利或侵权责任为由向法院提起诉讼，主张返还财产，以维护老人的合法权益。目前，根据您提出的意见建议，我省正在制定《全省养老机构预收费监管办法》，建立资金监管机制，拟探索研究建立财务管理机制，计划由银行、民政局或养老机构（康养院）所在地社区通过协议等方式，代为管理有需求的老人资金，按照合同规定支付康养费用，保障老人的其他生活需求，确保资金的安全与合理使用。再次感谢您的宝贵建议与关注，我们将持续努力改进和完善相关政策与服务，为来滇康养的外省老人提供更加贴心、便捷、安全的康养环境。如您有任何疑问或需要进一步的沟通，请随时与我们联系。祝您身体健康，在滇愉快，安享晚年。
三农,投诉/求助,尊敬的领导您好，乡宁县管头镇仁马庄村目前一年四季仍然采用水井拉水的方式取水，用水困难，在此求助领导,网友您好：留言已收悉！您反映的问题，我们高度重视，立即组织相关乡镇进行了核查。目前经乡村两级申请，仁马庄村供水维修提升工程已纳入我县农村供水工程维修提升（二期）项目，计划于2025年8月底开工建设。感谢您的留言，欢迎您继续关注与支持我们的工作。
